City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,Somerset,US,2022-02-12 04:41:42,40.5668,-74.5496,54.84,49,62,1.99
250,Belaya Gora,RU,2022-02-12 04:45:16,68.5333,146.4167,-22.25,94,93,5.32
251,Bhatkal,IN,2022-02-12 04:45:16,13.9667,74.5667,84.96,37,24,3.27
252,Brae,GB,2022-02-12 04:45:17,60.3964,-1.353,42.71,84,100,24.79
253,Yulara,AU,2022-02-12 04:45:17,-25.2406,130.9889,91.24,17,1,6.91
254,Tadpatri,IN,2022-02-12 04:45:17,14.9167,78.0167,81.39,46,47,11.41
255,Homer,US,2022-02-12 04:45:18,59.6425,-151.5483,30.79,82,100,13.0
256,Cururupu,BR,2022-02-12 04:45:18,-1.8283,-44.8683,75.38,94,100,3.85
257,Diego De Almagro,CL,2022-02-12 04:45:18,-26.3667,-70.05,62.62,50,0,1.43
258,Touros,BR,2022-02-12 04:45:19,-5.1989,-35.4608,79.7,82,91,8.75
259,West Plains,US,2022-02-12 04:45:19,36.7281,-91.8524,46.53,75,0,5.75
260,Ponta Pora,BR,2022-02-12 04:45:19,-22.5361,-55.7256,69.58,70,0,8.88
261,Sausar,IN,2022-02-12 04:45:20,21.65,78.7833,69.15,18,14,2.93
262,Kapuskasing,CA,2022-02-12 04:45:20,49.4169,-82.4331,-14.71,70,100,18.41
263,Tateyama,JP,2022-02-12 04:45:21,34.9833,139.8667,50.27,44,66,4.09
264,Zacualpan,MX,2022-02-12 04:45:21,21.25,-105.1667,68.72,62,0,4.14
265,Tiksi,RU,2022-02-12 04:45:21,71.6872,128.8694,-9.17,92,89,17.87
266,Piltene,LV,2022-02-12 04:45:22,57.2243,21.6744,33.75,69,0,11.5
267,Hamilton,US,2022-02-12 04:45:22,39.1834,-84.5333,42.12,89,100,4.61
268,Kayerkan,RU,2022-02-12 04:45:22,69.3497,87.7602,-12.8,82,95,6.69
269,Tuatapere,NZ,2022-02-12 04:45:22,-46.1333,167.6833,57.81,58,84,11.45
270,Pemberton,CA,2022-02-12 04:45:23,50.3164,-122.8027,33.66,74,28,0.43
271,Tazovskiy,RU,2022-02-12 04:45:23,67.4667,78.7,-9.44,87,100,10.04
272,Bucerias,MX,2022-02-12 04:40:31,20.75,-105.3333,68.99,83,0,0.0
273,Gojra,PK,2022-02-12 04:44:33,31.1487,72.6866,67.82,20,0,2.37
274,Beckley,US,2022-02-12 04:46:24,37.7782,-81.1882,54.09,32,0,11.5
275,Quatre Cocos,MU,2022-02-12 04:46:24,-20.2078,57.7625,82.09,72,57,7.09
276,Carutapera,BR,2022-02-12 04:46:24,-1.195,-46.02,76.19,91,96,6.82
277,Amarante,BR,2022-02-12 04:46:25,-6.2411,-42.8547,74.28,90,100,1.39
278,Tchamba,TG,2022-02-12 04:46:25,9.0333,1.4167,70.07,17,62,3.8
279,Nishihara,JP,2022-02-12 04:46:25,26.1842,127.7558,73.45,73,100,19.57
280,Luganville,VU,2022-02-12 04:46:26,-15.5333,167.1667,83.12,78,100,5.46
281,Pisco,PE,2022-02-12 04:46:26,-13.7,-76.2167,69.85,73,0,9.22
282,Luanda,AO,2022-02-12 04:46:26,-8.8368,13.2343,74.21,86,86,6.85
283,Kyra,RU,2022-02-12 04:46:27,49.5776,111.9753,-0.99,69,95,0.69
284,Aklavik,CA,2022-02-12 04:46:27,68.2191,-135.0107,-22.97,98,8,9.33
285,Middle Island,US,2022-02-12 04:46:28,40.8843,-72.9373,50.65,78,0,12.66
286,Katsuura,JP,2022-02-12 04:46:28,35.1333,140.3,46.44,47,69,5.91
287,Kieta,PG,2022-02-12 04:46:29,-6.2167,155.6333,80.33,83,100,2.21
288,Santa Maria Da Vitoria,BR,2022-02-12 04:46:29,-13.3947,-44.1886,71.56,82,43,0.76
289,Huarmey,PE,2022-02-12 04:46:29,-10.0681,-78.1522,71.11,83,100,7.18
290,Suluq,LY,2022-02-12 04:46:30,31.6682,20.2521,49.39,74,0,6.15
291,Iskateley,RU,2022-02-12 04:46:30,67.6803,53.1512,13.12,92,100,17.09
292,Yerofey Pavlovich,RU,2022-02-12 04:46:30,53.9667,121.9667,0.73,61,92,2.42
293,Ugoofaaru,MV,2022-02-12 04:46:31,5.6667,73.0,81.41,74,100,10.2
294,Sydney,AU,2022-02-12 04:41:37,-33.8679,151.2073,75.31,82,41,11.99
