City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
628,Buckeye,US,76.24,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
632,Calama,CL,75.49,overcast clouds,-22.4667,-68.9333,Diego De Almagro Calama
636,Palu,ID,75.33,light rain,-0.8917,119.8707,Hotel Santika Palu
648,Maragogi,BR,83.95,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
650,Caravelas,BR,81.57,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
656,Ixtapa,MX,78.03,broken clouds,20.7,-105.2,Hotel Plaza Providencia
660,Khartoum,SD,79.02,few clouds,15.5518,32.5324,Hotel China
661,Lubao,PH,80.15,overcast clouds,14.9167,120.55,Hacienda Gracia
666,Waingapu,ID,77.61,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
670,Conakry,GN,86.07,haze,9.538,-13.6773,Riviera Royal Hotel
678,Ettaiyapuram,IN,75.0,scattered clouds,9.1441,77.9907,NR Mahal & Rooms
679,Tarakan,ID,76.5,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
680,Sulangan,PH,79.25,overcast clouds,11.1373,123.7228,Maia's Beach Resort
683,Cocobeach,GA,80.24,overcast clouds,1.0002,9.5823,Hotel Esperance
684,Tahoua,NE,85.98,clear sky,14.8888,5.2692,Bungalows Guesthouse
685,Villa Maria,AR,79.83,clear sky,-32.4075,-63.2402,Hotel Milenium
688,Toamasina,MG,78.8,broken clouds,-18.1667,49.3833,Hotel H1
689,Lodwar,KE,88.63,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
690,Monrovia,LR,85.77,broken clouds,6.3005,-10.7969,Sunset Inn
702,Ler,SS,86.38,clear sky,8.3018,30.1418,
704,Namatanai,PG,78.67,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
705,San Juan,AR,85.87,clear sky,-31.5375,-68.5364,Hotel Provincial
711,General Pico,AR,79.9,clear sky,-35.6566,-63.7568,Euskadi Hotel
