City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Coahuayana,MX,18.7333,-103.6833,90.88,25,91,5.46,overcast clouds
156,Uyemskiy,RU,64.4743,40.8524,1.45,91,0,2.24,clear sky
157,Marshfield,US,44.6689,-90.1718,11.55,51,0,5.75,clear sky
158,Nouadhibou,MR,20.931,-17.0347,67.98,73,63,18.41,broken clouds
159,Maldonado,UY,-34.6667,-54.9167,69.19,47,5,18.32,clear sky
160,Labuhan,ID,-6.8844,112.2051,76.91,88,100,2.75,overcast clouds
161,Tukrah,LY,32.5341,20.5791,54.81,74,2,3.06,clear sky
162,Port-Cartier,CA,50.0334,-66.8654,2.75,65,20,6.35,few clouds
163,Tabou,CI,4.423,-7.3528,80.89,76,45,7.67,scattered clouds
164,Tatawin,TN,32.9297,10.4518,59.88,64,71,10.98,broken clouds
165,Airai,TL,-8.9266,125.4092,58.98,92,85,2.01,overcast clouds
166,Ponta Delgada,PT,37.7333,-25.6667,63.5,67,40,12.66,scattered clouds
167,Provideniya,RU,64.3833,-173.3,-13.5,94,17,3.49,few clouds
168,Sangueya,GN,10.7,-14.3667,87.4,39,1,10.92,clear sky
169,Grigoropolisskaya,RU,45.2972,41.0567,33.1,71,4,6.51,clear sky
170,Aginskoye,RU,51.1,114.53,-15.07,99,92,4.14,overcast clouds
171,Puerto Ayora,EC,-0.7393,-90.3518,82.36,85,100,5.99,overcast clouds
172,Shu,KZ,43.5983,73.7614,29.44,88,100,1.5,overcast clouds
173,Furano,JP,43.2818,142.4743,5.56,97,96,3.83,overcast clouds
174,Winneba,GH,5.3511,-0.6231,84.67,77,29,13.06,light rain
175,Nome,US,64.5011,-165.4064,-12.93,64,0,0.0,clear sky
176,Nanortalik,GL,60.1432,-45.2371,29.61,80,100,9.33,overcast clouds
177,Newport,GB,51.5877,-2.9984,52.86,92,100,3.0,overcast clouds
178,Clyde River,CA,70.4692,-68.5914,-23.57,69,0,11.5,clear sky
179,Teguldet,RU,57.3064,88.1667,0.37,92,24,9.24,few clouds
180,Lata,PT,40.1629,-8.3327,54.07,96,100,8.28,overcast clouds
181,Faanui,PF,-16.4833,-151.75,81.09,74,100,14.9,overcast clouds
182,Lebu,CL,-37.6167,-73.65,66.47,70,98,12.55,overcast clouds
183,Luderitz,NA,-26.6481,15.1594,74.86,63,4,14.41,clear sky
184,Tono,JP,39.3167,141.5333,23.32,89,100,2.3,overcast clouds
